d	a	g	Comment
-458.325864		NM	2 x TMT loss
-457.322509		NM	2 x TMT loss
-456.319154		NM	2 x TMT loss
-229.162932		NM	1 x TMT loss
-228.159577		NM	1 x TMT loss
-227.156222		NM	1 x TMT loss
-172.141468		NM	1 x  TMT loss + IAM (Lys)
-171.138113		NM	1 x  TMT loss + IAM (Lys)
-170.134758		NM	1 x  TMT loss + IAM (Lys)
-115.120005		-115.120005	Ubiquitination (Lys) + 1 x TMT loss
-114.11665		-115.120005	Ubiquitination (Lys) + 1 x TMT loss
-113.113295		-115.120005	Ubiquitination (Lys) + 1 x TMT loss
-91.009185	C	-91.009185	SH2 loss
-90.00583	C	-91.009185	SH2 loss
-29.992806	M	-29.992806	Met->HSer or Met->Thr
-28.989451	M	-29.992806	Met->HSer or Met->Thr
-18.010565		NM	H2O loss
-17.026549		NM	NH3 loss
0		NM	DM=0
0.984016		0.984016	Deamidation
1.003355		NM	DM=0
1.987371		0.984016	Deamidation
2.00671		NM	DM=0
3.010065		NM	DM=0
3.994915		3.994915	Kynurenine
4.99827		3.994915	Kynurenine
14.01565		14.01565	Methyl
15.019005		14.01565	Methyl
15.994915		15.994915	Oxidation
16.02236		14.01565	Methyl
16.99827		15.994915	Oxidation
17.026549		NM	NH3 adduct
18.001625		15.994915	Oxidation
18.010565		NM	H2O adduct
21.981943		NM	Na adduct
31.989829		31.989829	Dioxidation
32.993184		31.989829	Dioxidation
33.996539		31.989829	Dioxidation
47.984744		47.984744	Trioxidation
48.988099		47.984744	Trioxidation
49.991454		47.984744	Trioxidation
57.021464		NM	IAM
58.024819		NM	IAM
59.028174		NM	IAM
79.966331		79.966331	Phosphorylation
80.969686		79.966331	Phosphorylation
229.162932		NM	1 x TMT
230.166287		NM	1 x TMT
231.169642		NM	1 x TMT
245.157847		245.157847	Oxidation + 1 x TMT
246.161202		245.157847	Oxidation + 1 x TMT
247.164557		245.157847	Oxidation + 1 x TMT
261.152761		261.152761	Dioxidation + 1 x TMT
262.156116		261.152761	Dioxidation + 1 x TMT
263.159471		261.152761	Dioxidation + 1 x TMT
286.184396		NM	1 x TMT + IAM
287.187751		NM	1 x TMT + IAM
288.191106		NM	1 x TMT + IAM
458.325864		NM	2 x TMT
459.329219		NM	2 x TMT
